securityid,ticker,figi,mindate,maxdate
235,TRA,"",2003-09-10 00:00:00,2010-04-15 00:00:00
201,KYPH,"",2003-09-10 00:00:00,2007-11-04 00:00:00
251,ESE,BBG000C4S3P3,2003-09-10 00:00:00,
243,WC,"",2003-09-10 00:00:00,2005-12-29 00:00:00
228,OO,"",2003-09-10 00:00:00,2007-11-14 00:00:00
152,KDE,"",2003-09-10 00:00:00,2010-05-31 00:00:00
239,UIC,"",2003-09-10 00:00:00,2007-12-18 00:00:00
298,CIN,"",2003-09-10 00:00:00,2006-04-02 00:00:00
165,TW,BBG00NK8H8T2,2003-09-10 00:00:00,
254,DCTH,BBG000BY2VF5,2003-09-10 00:00:00,
297,BMS,"",2003-09-10 00:00:00,2024-05-18 00:00:00
250,CRAY,"",2003-09-10 00:00:00,2006-06-07 00:00:00
179,CDI,"",2003-09-10 00:00:00,2024-05-18 00:00:00
193,ADRE,"",2003-09-10 00:00:00,2024-05-18 00:00:00
12259,DISCB,"",2009-10-30 00:00:00,2022-04-10 00:00:00
56,ALOG,"",2003-09-10 00:00:00,2024-05-18 00:00:00
182,ANDW,"",2003-09-10 00:00:00,2007-12-27 00:00:00
248,ARM,BBG01J1GXZF0,2003-09-10 00:00:00,
191,STR,BBG01C36Y855,2003-09-10 00:00:00,
178,TNM,"",2003-09-10 00:00:00,2006-06-12 00:00:00
154,BDE,"",2003-09-10 00:00:00,2024-05-18 00:00:00
257,SWIR,BBG007F5NQS3,2003-09-10 00:00:00,2024-05-18 00:00:00
12842,XXV,"",2010-07-19 00:00:00,2024-05-18 00:00:00
262,ELON,"",2003-09-10 00:00:00,2024-05-18 00:00:00
256,MON,"",2003-09-10 00:00:00,2024-05-18 00:00:00
240,FINB,"",2003-09-10 00:00:00,2008-01-02 00:00:00
173,SRT,"",2003-09-10 00:00:00,2024-05-18 00:00:00
206,CEA,BBG000BPPHD2,2003-09-10 00:00:00,2024-05-18 00:00:00
205,XKE,"",2003-09-10 00:00:00,2024-05-18 00:00:00
164,SERO,"",2003-09-10 00:00:00,2006-07-16 00:00:00
287,FMS,BBG000HDMR99,2003-09-10 00:00:00,
279,GTK,"",2003-09-10 00:00:00,2006-08-29 00:00:00
285,XLY,BBG000BJ1MF9,2003-09-10 00:00:00,
275,LQU,"",2003-09-10 00:00:00,2008-02-14 00:00:00
296,BHE,BBG000C4JX31,2003-09-10 00:00:00,
271,SIE,"",2003-09-10 00:00:00,2008-02-26 00:00:00
238,MLAN,"",2003-09-10 00:00:00,2008-04-03 00:00:00
276,BGEN,"",2003-09-10 00:00:00,2003-11-12 00:00:00
163,RZT,"",2003-09-10 00:00:00,2003-11-20 00:00:00
263,MDEA,BBG000F2J7S2,2003-09-10 00:00:00,2003-11-24 00:00:00
221,XTRM,"",2003-09-10 00:00:00,2003-12-11 00:00:00
199,PCOR,"",2003-09-10 00:00:00,2004-01-19 00:00:00
217,CSIB,"",2003-09-10 00:00:00,2004-02-05 00:00:00
155,CAQ,"",2003-09-10 00:00:00,2008-04-28 00:00:00
225,RSTO,"",2003-09-10 00:00:00,2008-06-17 00:00:00
237,PCCI,"",2003-09-10 00:00:00,2004-03-07 00:00:00
189,FKAN,"",2003-09-10 00:00:00,2004-03-31 00:00:00
284,TRBR,"",2003-09-10 00:00:00,2004-04-18 00:00:00
252,ICGE,"",2003-09-10 00:00:00,2004-05-09 00:00:00
194,CSBY,"",2003-09-10 00:00:00,2004-05-11 00:00:00
209,FSFF,"",2003-09-10 00:00:00,2004-06-01 00:00:00
176,SWBD,"",2003-09-10 00:00:00,2004-06-03 00:00:00
303,CBO,"",2003-09-10 00:00:00,2004-09-30 00:00:00
295,AFBC,"",2003-09-10 00:00:00,2004-12-30 00:00:00
300,IACI,"",2003-09-10 00:00:00,2008-08-20 00:00:00
156,CRAI,BBG000C1LZX6,2003-09-10 00:00:00,
359,FELE,BBG000BJGGV8,2003-09-10 00:00:00,
21974,EMHC,BBG00ZXP9PZ7,2021-04-07 00:00:00,
427,DRS,"",2003-09-10 00:00:00,2008-10-22 00:00:00
21975,VUSB,BBG00ZXBYLZ9,2021-04-07 00:00:00,
328,GMXR,"",2003-09-10 00:00:00,2013-04-01 00:00:00
26584,JUNP,BBG01MR9Y833,2024-06-03 00:00:00,
381,NWK,"",2003-09-10 00:00:00,2012-08-26 00:00:00
454,PVSW,"",2003-09-10 00:00:00,2013-04-11 00:00:00
305,CME,BBG000BHLYP4,2003-09-10 00:00:00,
369,OLAB,"",2003-09-10 00:00:00,2006-12-28 00:00:00
323,ULGX,BBG000GKKMN1,2003-09-10 00:00:00,2013-06-06 00:00:00
366,HMX,"",2003-09-10 00:00:00,2008-11-25 00:00:00
306,PBCT,"",2003-09-10 00:00:00,2007-04-15 00:00:00
